lat,lng,population,Location
47.5948,-120.6633,3332,"Leavenworth, WA"
47.9391,-122.1341,2779,"Fobes Hill, WA"
47.4802,-118.2552,411,"Harrington, WA"
47.5164,-122.661,13997,"Port Orchard, WA"
47.8147,-122.2676,8817,"Alderwood Manor, WA"
46.1979,-119.1732,232915,"Kennewick, WA"
46.5583,-120.6109,3076,"Ahtanum, WA"
47.4463,-121.7691,1443,"Wilderness Rim, WA"
47.9917,-122.0515,886,"Machias, WA"
45.7139,-121.4704,729,"Bingen, WA"
47.5582,-117.5891,403,"Four Lakes, WA"
48.0572,-117.7466,293,"Springdale, WA"
46.7538,-118.3106,204,"Washtucna, WA"
47.3668,-122.1044,20916,"Covington, WA"
47.3863,-122.8386,2650,"Allyn, WA"
47.8827,-121.8251,241,"North Sultan, WA"
46.5567,-120.4977,6161,"Union Gap, WA"
47.2188,-123.1127,19296,"Shelton, WA"
46.2755,-123.9425,300,"Chinook, WA"
48.9839,-122.7414,5311,"Blaine, WA"
48.0316,-122.789,3765,"Port Hadlock-Irondale, WA"
47.4166,-122.6377,1941,"Burley, WA"
48.4202,-122.3116,69528,"Mount Vernon, WA"
47.922,-119.0475,1001,"Electric City, WA"
47.2338,-121.0335,284,"Ronald, WA"
48.1715,-119.0244,259,"Nespelem Community, WA"
47.4532,-123.9194,119,"Amanda Park, WA"
46.3876,-117.0831,6453,"Clarkston Heights-Vineland, WA"
47.5135,-122.3159,3916,"Boulevard Park, WA"
48.3933,-122.2422,1784,"Big Lake, WA"
48.7245,-118.1321,76,"Boyds, WA"
47.5266,-122.5986,6559,"Parkwood, WA"
47.9642,-117.4397,3868,"Deer Park, WA"
47.2491,-123.9348,277,"Humptulips, WA"
47.4445,-122.2986,29140,"SeaTac, WA"
47.3659,-122.0368,25758,"Maple Valley, WA"
47.6856,-117.2806,1784,"Millwood, WA"
48.9883,-123.0576,1251,"Point Roberts, WA"
46.1392,-118.148,256,"Dixie, WA"
47.5193,-122.6183,5334,"East Port Orchard, WA"
46.5575,-122.2815,1159,"Morton, WA"
48.6176,-122.3369,235,"Alger, WA"
46.6437,-118.5556,199,"Kahlotus, WA"
47.2593,-122.3457,2185,"Fife Heights, WA"
45.8021,-122.5764,689,"Cherry Grove, WA"
47.8292,-122.1452,3907,"Clearview, WA"
47.1465,-121.632,28,"Greenwater, WA"
47.8745,-122.3079,9002,"Picnic Point, WA"
48.9168,-122.1383,37,"Kendall, WA"
47.6437,-122.8219,1141,"Seabeck, WA"
47.8671,-121.7495,683,"Startup, WA"
47.1699,-122.5935,6337,"Steilacoom, WA"
47.2007,-117.9049,74,"Lamont, WA"
48.487,-122.4628,625,"Bay View, WA"
48.173,-117.7244,171,"Valley, WA"
48.1111,-122.1459,172,"North Marysville, WA"
47.0064,-123.5321,360,"Brady, WA"
47.8555,-121.6743,663,"May Creek, WA"
48.4561,-122.2378,990,"Clear Lake, WA"
48.0852,-118.7164,228,"Keller, WA"
47.6762,-122.1169,64291,"Redmond, WA"
46.3108,-124.0422,945,"Ilwaco, WA"
47.7921,-122.3076,21337,"Mountlake Terrace, WA"
46.5022,-120.4668,60,"Parker, WA"
47.3914,-119.4892,1579,"Soap Lake, WA"
46.8053,-123.0119,3119,"Grand Mound, WA"
47.5519,-122.5517,5447,"Manchester, WA"
47.1529,-122.1048,4610,"Prairie Heights, WA"
48.1002,-121.7679,457,"Verlot, WA"
48.444,-119.4459,685,"North Omak, WA"
46.7274,-120.6945,827,"Naches, WA"
46.598,-120.6514,1182,"Summitview, WA"
47.1404,-122.3827,6831,"Clover Creek, WA"
46.2066,-119.7662,6264,"Prosser, WA"
46.365,-123.8013,376,"Naselle, WA"
47.3743,-120.1382,1015,"Rock Island, WA"
45.8192,-120.8233,3404,"Goldendale, WA"
47.8027,-122.1044,11443,"Maltby, WA"
48.2965,-122.6331,34663,"Oak Harbor, WA"
47.0512,-122.781,6205,"Tanglewilde, WA"
46.9282,-117.6867,305,"Endicott, WA"
